公司名称（全称）,岗位详情,所在城市,薪资区间,岗位名称,BOSS链接,年限要求,学历要求,备注,组长,收集人姓名,父记录,父记录 2,父记录 3,所在区域
杭州洪范,"岗位说明：
以技术驱动搭建协同体系，对业务进行数字化改造，优化工作流程，提升工作效率。
运用各类AI工具、RPA自动化软件等，结合实际业务需求，开发应用型产品或流程，并开展实施与运维工作；
对现有业务进行基础数字化改造，制定标准使用规范，对员工进行操作培训，并实施监督指导；
借助RPA软件、API对接等方式，在互联网、电商平台等各处获取数据，进行分析并提出业务发展建议；
与运营、财务、供应链、仓储等部门沟通需求，提供自动化解决方案。
能力要求：
本科及以上学历，计算机、数学、AI、统计学等相关专业；
具备基础编程能力和数字化思维逻辑；
逻辑清晰，善于沟通，能够将业务需求转化为工具方案；
对AI有浓厚兴趣，拥有丰富的AI工具使用经验，对AI未来发展有深入认知，能够结合业务探讨应用价值；
有使用飞书（特别是飞书多维表格）、扣子Coze工作流、Python、影刀RPA自动化软件、电商ERP软件等经验者优先。",郑州·金水区,6-11K,应用型AI产品开发工程师,https://www.zhipin.com/job_detail/8235bdcf6d4112030nR42NW6GFdY.html?securityId=4X8T5yRLUb1z5-j1V0FdMS_4rjejIFLjrvtVVAs0qggZOGn8u3u9r6y60WyodxEiU6s8fnByKKfcle_KkRVYvdgujO7Syo37VfosjwNNHlNtHcRQ8_gPnX87Q4dcet7VXJFr8K2fJGAkQKs0B0q2vCXh3tnt964In3UTFZQOcJfvDqbcjMD1D147IuLcLAxMoyzmtWNRXK0JlTGU_St6J7FCleMFd371NC_vSEXkuJo8RDv2xuh7HyO5nTbsD3TzCK-3ZFloRDGFU1bPP31ek1Unvua0H_PFeHkPEKlCcC1wWmPE&lid=1yCchXqTVeg,1-3年,本科,"区域: 金水区
商圈: 花园路
领域: 电子商务
性质: 不需要融资
规模: 100-499人
技能标签: B端产品 C端产品 语音类AI AI数字人构建 Coze自动化工作流
福利标签: 节日福利 住房补贴 零食下午茶 加班补助 底薪加提成 年终奖 全勤奖 保底工资 节假日加班费 五险 五险一金 通讯补贴 绩效奖金 交通补助 带薪年假
原始经验: 1-3年
原始学历: 本科",41-谭莎,焦一凡,,,,
郑州聪业信息技术,"岗位职责：
1、负责AI产品客户技术⽀持⼯作：安装、培训、咨询等；
2、解决客户在产品使⽤过程中遇到的问题；
3、根据用户需求、结合产品功能提供合适的解决方法；
4、按时按质按量完成上级临时交办的其他⼯作
任职要求：
1、专科及以上学历，专业不限，软件工程、计算机等专业优先;
2、有相关基础者优先，C、java、python、数据库等, 了解金融或者其他专业有较强逻辑思维能力的理工科毕业生亦可;
3、做事认真、细心、有耐心和责任心，能够专心学习技术，有良好的工作态度和团队合作精神;
4、转行/热爱IT行业，有项目经理带领;
上班时间9:00-18:00
薪资待遇:6000～8000元 节假日正常休
1.员工节日福利+员工生日福利+年终奖+带薪年假+团建+聚餐+下午茶等
2.办公环境优美，公司氛围好，团队成员年轻有朝气
3.完善的薪酬体系和考核晋升机制，为优秀员工提供良好的薪资晋升通道
4.临近地铁口，从不加班",郑州·金水区,6-8K,人工智能（AI）技术员,https://www.zhipin.com/job_detail/3fc555c3738300e503173tq1FVdT.html?securityId=j5oshABYk8d13-31lMBAKC6FNd2PDcNbQYxKdAt9Vvsmq_D4uEjnIpEcpPyxHr0qLcjpvfhQhqJhmi4jP1ZxpG_qL3BV6pkbsJ3q3iUtZbdaTJA0ZuZfV318i4hKmtlyeD_EwJP1MFbkS3LX1-NjguHpNcKEZkTAA9ANxACTU9sDczFUbk-P-G5KyV_E1yrqD0mlRVyNwll4dSQNlSiW-TFCW7C2aQzjvdbNK3lSrMdamov6K_T0yRWd5bwgFcC12Jh9rmt7kl83zJjlGVNciNOyKWU4r-GhFLS9QC_2lrS-0LR5&lid=1yCchXqTVeg,经验不限,大专,"区域: 金水区
商圈: 丰产路
领域: 互联网
性质: 未融资
规模: 20-99人
技能标签: 售前/售后技术支持 MySQL/Oracle 英文可沟通 IT资产管理 Python
福利标签: 节假日加班费 定期体检 加班补助 餐补 团建聚餐 五险一金 绩效奖金 生日福利 带薪年假
原始经验: 经验不限
原始学历: 大专",41-谭莎,焦一凡,,,,
郑州某大型计算机软件上市公司,"岗位职责
1. 聚焦高校教学方向，开展用户与市场研究，明确AI产品定位及阶段目标，输出MRD、PRD、原型图及版本计划。
2. 统筹教研、研发、商务等跨部门协作，推进产品评审、排期、联动及发布，保障交付质量与进度。
3. 跟踪⾼校⾏业政策与趋势，开展竞品分析，识别产品机会，沉淀可复⽤的产品方案与落地案例。
4. 负责知识图谱、智能体在高校教学场景的产品化设计与落地，确保产品成果贴合业务⽬标。
任职要求
1. 本科及以上学历，计算机、人工智能、设计等相关专业优先。
2. 3年及以上ToB或教育/教培产品相关经验，沟通表达能力强，具备较强的项目推动力。
3. 掌握大语言模型、智能体的原理、能力及边界，理解其数据需求与依赖。
4. 熟练开展用户研究、需求分析，精通产品文档撰写，能独立产出高质量PRD、原型图及验收标准。
5. 具备数据意识与实验思维，能以指标驱动问题定位与方案验证。
6. 理解高校教学目标与基本教学法，懂教学场景及师生真实诉求，能将教学目标转化为可落地的产品策略。
7. 具备项目管理与跨团队协作经验，能在多任务、多角色环境中高效推进产品落地。
加分项
1. 有高校/K12相关",郑州,15-25K,AI产品经理（教学方向）,https://www.zhipin.com/job_detail/673315d68e89c9520nZy09y6EFpR.html?securityId=1M4J1FACmcxyx-G1181gz2xFDLNFQx-ALa99ERN58i7iBUR_r27GcFlIgqpQ20n5l_ew8YB3f_Ku_jS4JdyqOw59xHcMtlH_VebAhEusAQuJ6cqcdfaHxeUi7fhaxDcaLlchEpUilFMClzDPi50CLfppufg7TAffCUbJF1Oh5xlPjODaj9ZAa6uQuZSkzIoMmHDRpZlSzipoyPDyEi9jiCu977uNxwd-GAALx-G9nSJ8WjJ1jlXMicOxyYV22wtXmoM5Yr0a6-KrKGULaOiiSTIZrtfBaQsZKUWEJBc14Q~~&lid=1yCchXqTVeg,3-5年,本科,"领域: 计算机软件
性质: 已上市
规模: 1000-9999人
技能标签: B端产品 AI产品 大语言模型/智能体 PRD 原型图撰写
福利标签: 通讯补贴 交通补助 定期体检 带薪年假 补充医疗保险 五险一金 股票期权 员工旅游 节日福利 餐补 年终奖
原始经验: 3-5年
原始学历: 本科",41-谭莎,焦一凡,,,,
郑州研希文化传媒,"岗位职责： 
1、负责AI产品的需求分析、功能规划与全周期管理； 
2、协调设计、技术、运营等团队，推动产品开发与迭代落地； 
3、关注用户反馈与数据表现，持续优化产品体验与核心指标； 
4、跟踪AI行业趋势，挖掘内容创作场景下的产品创新机会； 
任职要求： 
1、具备良好的产品思维与用户洞察⼒，能够独⽴完成产品⽅案设计； 
2、熟悉AI相关技术应用场景，对自然语⾔处理或生成式AI有一定理解； 
3、具备较强的跨团队沟通能力与项目推动力； 
4、有创新意识和结果导向思维，能适应快速变化的业务环境；",郑州·中原区,5-6K,ai产品经理,https://www.zhipin.com/job_detail/575ce235efaba00f0nZy2NW6FltQ.html?securityId=rjLZFm_BRM9pa-21qAbI9_vqlzZH1QquY2cod_RLqGnDOFUQii2ZG-Sk9mS3ub2_ej5J0S6ubBvClT4D8N0Dc_oZA4zwYaLBeMnN4m9b0dYhuQMuGNOCldrkWGp50KhZsFvUKmwJC_dWpwzKZzfRHCQDE7L0d8mDkmLLnIOwHQUBr5bpsuiWwDJy-MsR9MdfkgQMaYf414yRSS9SADvxxgkiaOVLPhYkhUHKO6-vxxyw1QwDnWEGwpc82eGj7fuTtYcXDtJhF2JAG-zfyET2W7rhbz92GUwn3sV7YYx6fqZ7YVctaPIogHddKbI_tCay85_bjYAKhw~~&lid=1yCchXqTVeg,1-3年,大专,"区域: 中原区
商圈: 桐柏路
领域: 互联网
规模: 0-20人
原始经验: 1-3年
原始学历: 大专",41-谭莎,焦一凡,,,,
易企邦数字印刷,"岗位职责: 公司是一家专门做印刷包装袋的工厂，日常工作需要操作公司用来直播的ai设备进行直播，一个人平均看5台手机设备，整理后台留资，工作简单易上手，入职有培训
任职要求: 会基础电商运营知识，对ai直播有一定了解，可以长期稳定工作
岗位福利: 食宿 社保 节假日正常休息 月休四天
工作地址可在地图查看：金国大塑料包装有限公司 位于新乡市原阳县",郑州·金水区,100-200元/天,ai产品经理,https://www.zhipin.com/job_detail/bade52fa41160ec11Hx72NW6EFZX.html?securityId=vaflIFkz5ktS5-v1B_RXtjZ2-iCSwwq8ILFbDNw3uAZUbiXPjN4U0LCqdfrX_--MRR_u2wcd1412R2SbrI9FVXbvgYZMs-lJFgTMEcu_dXrEmR65OLctPmAfCv3M5v94C2OeXSniIfN6tmh7zwuotRikSCvVI-TcBEjWCGk9UkmGW4fwPrGYSm9dKXrWZG2UIyfx8nFZT1G5q4S9yFbokWDYZBJ0gKLEfnY8quTyw5FOj1-TLZQP7jUXG1rUbnR7NqmBVBe7uh1iiP7o4xplOYE1Cb2LKuo8_bk1917a_whY3_w~&lid=1yCchXqTVeg,,高中,"区域: 金水区
商圈: 国基路
领域: 广告/公关/会展
性质: 不需要融资
规模: 20-99人
技能标签: C端产品 视觉类AI 语音类AI
原始学历: 高中",41-谭莎,焦一凡,,,,
许昌龙祁,"岗位职责】
●评估跨境电商AI智能体项目（如导购智能体、广告智能体、供应链预测智能体）的可行性、商业价值与ROI，结合行业趋势（如多模态交互、自主决策智能体）制定实施路径与资源分配方案。
●主导AI智能体内部产品与场景从0到1落地：深度挖掘跨境电商业务场景（选品、营销、客服、物流）的AI智能需求，完成智能体角色定义如：选品参谋智能体、智能客服智能体、AIGC内容创造智能体、架构设计（多模态交互逻辑、决策规则引擎、知识库构建）、开发落地与灰度验证
●主导智能体产品与场景交付Roadmap规划，平衡短期业务痛点如：客服响应效率低与长期战略如：全链路自动化），确保智能体场景矩阵协同赋能业务增长
●统筹多个AI智能体项目并行推进（如同时落地3-5个垂直场景智能体），协调算法、工程、业务团队资源，制定优先级策略（如优先落地高ROI的导购与广告智能体），确保关键节点交付效率
【任职要求】
●正规统招本科以下学历，5年以上跨境电商行业产品经验，2-3年且具备2-3个跨境电商AI智能体产品从规划到落地的完整案例（需提供具体场景、角色与成果）
●能深度洞察跨境电商场景（假发行业的多模态需求与跨平台运营复",郑州·中原区,16-27K,AI产品经理 电商,https://www.zhipin.com/job_detail/5f7ba7a40fa562ff0nV439m8GFVR.html?securityId=tPlmnS0BtItQG-81aKAPw_jij7RUfL85_BgCMTj_NYvWdnew7H8DCxJxwMcy2jqOxmvfn4gGelSHPBSfeD9W3xswIEYdP3vy370KNYVAdkokbK7v-iUuGXvA7Z4T1ihp2Hrr734AMZUGUgWMuWQjizKN5r3w1C1o83c27JMvbb-xY7Ow_G7MTnsZt_m3Yf1s1fL9FHQF27VSFaOjOAKRtrqHFmB9Ir5GLcD5Ck_z4AXHCJ8lf9yyhpDJrFWQPIvDrS3mKHC7FQCWkMbskO62zswu6ZXGURwfnByfq9MBXgvlDDw~&lid=1yCchXqTVeg,经验不限,本科,"区域: 中原区
商圈: 五龙口
领域: 进出口贸易
性质: 未融资
规模: 100-499人
福利标签: 带薪年假 有无线网 企业年金 加班补助 员工旅游 年度旅游 五险一金 团建聚餐 绩效奖金 带薪年假 底薪加提成 夜班补助 节日福利 年终奖 股票期权 生日福利 全勤奖 节假日加班费 定期体检 零食下午茶
原始经验: 经验不限
原始学历: 本科",41-谭莎,焦一凡,,,,
郑州誉美肿瘤医院,岗位职责：统直聘筹⼦公司 AI ⼯具应⽤、数字化流程优化、AI 人才培养、集团 AI 战略落地执行等⼯作。,郑州·中原区,6-10K,AI经理,https://www.zhipin.com/job_detail/6cfbb9df6866de310nZ_2dq1FFVS.html?securityId=KmsnzCojTGlnZ-C1Co6yesHOGQ2yOBGRNrhuoQuKbd-XXYATkU8PC7nXswPyNKvXc_OpikaBVTxppv3PFDnLK1zR1jcXCVouhIFdI1uQOm9Ya8oJm3kabKlMcI9I_8doqiQzVKup6qqL7mLPxmI8evD5vauXg1BGH1HI8eYCUvzzk-D42FBNQD4Rvp_rY2686NRtkeaSj66kJvxxrJPqkNbyYRJ1u0cDC2402ax1eePykIbGt6_onUUWGKqXSVatu3nfnJCaWu7Zv1HtvOo2knFlEubAshBWxhTohXYX6b1DKMHKIOVabHNS9TkGZBaNkqwaFUbSQg~~&lid=1yCchXqTVeg,3-5年,大专,"区域: 中原区
商圈: 高新区
领域: 医疗服务
性质: 不需要融资
规模: 100-499人
福利标签: 定期体检 有无线网 带薪年假 餐补 保底工资 底薪加提成 节假日加班费 五险一金 夜班补助 宿舍有空调 员工旅游 绩效奖金 年终奖 节日福利 工龄奖
原始经验: 3-5年
原始学历: 大专",41-谭莎,焦一凡,,,,
河南当尊,"岗位职责】
AI产品规划与落地：负责Agent在游戏语音场景的应用创新，从0到1完成产品定义、需求分析、交互设计及上线迭代，对产品体验与业务指标负责。
需求管理与推进：深⼊理解业务诉求，输出高质量的产品需求文档、原型及验收标准；统筹研发、设计、测试资源，确保项目高质量交付。
技术协作与沟通：作为产品侧与技术侧的核心接口，具备与算法、开发、测试等岗位深度对话的能力。能参与技术方案讨论，理解实现边界与成本，合理把控需求范围。
数据与效果追踪：建立产品核心数据指标体系，通过数据分析驱动产品优化，持续提升AI功能的使用率与用户满意度。
【任职资格】
经验与背景：本科及以上学历，5年以上互联网产品经验，至少2年社交、泛娱乐或语音类产品经验，精通AI的应用。有游戏语音厅、虚拟互动、智能体应用经验者优先。
产品能力：具备优秀的逻辑思维、用户洞察力及产品设计能力，能独立完成复杂业务的产品设计，有成功上线的产品案例。
技术理解力：
熟悉AI产品的基本技术逻辑，如大模型原理、Agent工作流、RAG、API调用等，能与技术团队无障碍沟通。
不要求写代码，但需理解前后端协作流程、数据库基本概念、系统性能边界",郑州·管城回族区,20-35K,AI产品兼技术负责人（游戏语音厅方向）,https://www.zhipin.com/job_detail/475e782d0b91a4d50nZ90tu5GFtQ.html?securityId=rEXov062EWDhx-b1d3YEaFJ7HNQ0bQNpFzTg-deMl2nX0UBhDpADMKQPcToOAPIVMwKYc8QWaPN-yeoePuS8K5Djo9EG8mIDmjgvxTuHMaQ3rb2kkMqTSZ5lW6yUxuf15rO_fyPWV9MSIBBGfkOgM7AE6TcheP-2ia7a_qbnT83-ZxVAMS-EjVBj5X8PFCq5sg5ZFpJUcZ452Vuvh-AkFzaxGIS7VPXGMI9vDpkESLDx06G_ITDnSIUpXE3cyEudH7WFhzUdc4278A6f5rTwoDnhlA7E7k5na1mb635U8AvkSaEr&lid=1yCchXqTVeg,5-10年,本科,"区域: 管城回族区
商圈: 紫荆山
领域: 社交网络与媒体
性质: 未融资
规模: 100-499人
福利标签: 股票期权 交通补助 年终奖 工龄奖 保底工资 节日福利 有无线网 团建聚餐 法定节假日三薪 带薪年假 五险一金 员工旅游 底薪加提成 定期体检 节假日加班费 零食下午茶 加班补助
原始经验: 5-10年
原始学历: 本科",41-谭莎,焦一凡,,,,
玖橡咨询,"2014年成立，目前公司600人以上，郑州8个分公司，郑州，北京，武汉几个分公司
第二：咱们的资源比较精准，我们获客有多个渠道
1 AI获客，机器人获客，筛选意向客户，客户多，资源好
2 直播间 视频号吸粉儿，客户直接询问，刚需客户
3 抖音 百度 360投放广告，筛选意向客户
第三：咱们工作职责，比较简单，只负责前端电话邀约，客户来了，产品经理谈，咱们拿提成就行。
第四：我们对此同行业的优势
1 公司平台大 老企业别担心
2 河南省唯一一家正规挂牌公司
3 不平分业绩，提成拿的更多
4 提供电销卡，公司报销话费
5 真实存在五险一金
6 晋升快 氛围好
工作时间：8.40～12.00 2.00～6.30单双休 法定休 带薪年假
薪资待遇：底薪4000+提成最高40%+奖金每人最低1000～3000元，综合新人6～10k，销冠人家拿的多10w多
最后欢迎咨询，来公司实地考察
薪资详情
薪资范围：8000-10000元/月
社保类型：五险一金
提成方式：按回款提成；
奖金",郑州·金水区,8-10K,AI获客引流+ 销冠月入10w上,https://www.zhipin.com/job_detail/9a800ae3a0ce855603Jz29m_FFZQ.html?securityId=BzMkPmCQObxiB-F1w2Qh_c7uBifSWY9icWlQhFiV0kjKGDiPB_TQk9EL7VuhS0wjoVZjpc7znIyHpEEI_dPpYYPCc2knZ37_ZwzY76WVEO2IfxboVdFvQnNDrISImW8MB2JgpSJlCZqYWXTetRGCTmm8UwuFOBLq8SDKGL8HScR7AsKEMq6VUV-pAOMuYG8xka5KkFTEczdvaz41UvPCxwVRLFCDT1dcfyfCxlCdV36jWSs7RBSOKVG6fFzOijEfUaCCiGxLUFS3UANoy4woJqph_Iru-lHrIQqIqQO-OBif_t3V&lid=1yCchXqTVeg,经验不限,学历不限,"区域: 金水区
商圈: CBD
领域: 咨询
性质: 不需要融资
规模: 100-499人
技能标签: 销售经验 个人（To C） 互联网金融 金融产品
福利标签: 有无线网 员工旅游 零食下午茶 节日福利 生日福利 团建聚餐 带薪年假 五险一金
原始经验: 经验不限
原始学历: 学历不限",41-谭莎,焦一凡,,,,
郑州某大型计算机软件上市公司,"任职要求：
1、本科及以上学历，计算机、人工智能、设计等相关专业优先。 
2、3年及以上ToB或教育/教培产品经验优先；沟通表达与推动力强。 
3、掌握大语言模型与智能体的原理、能力和边界，理解其数据需求和依赖。
4、熟练用户研究、需求分析、信息架构与产品文档撰写，能产出高质量PRD/原型图/验收标准。 
5、具备数据意识与实验思维，能以指标驱动问题定位与方案验证。
6、理解高校教学目标与基本教学法，懂教学场景与教师/学生真实诉求，能把教学目标转为可落地策略与可验证成效。
7、具备项目管理与跨团队协作经验，能在多角色、多任务环境中推进落地。
认证资质
人力资源服务许可证
资质说明
人力资源服务许可证
人力资源服务许可证是由国家人力资源与社会保障相关部门颁发，代表人才经纪人所在企业可以合法开展人力资源相关业务的资质证件。展示标签代表该企业已上传许可证并经由平台审核验证通过。
李女士
 锐仕方达·猎头顾问",郑州,20-40K,AI产品经理,https://www.zhipin.com/job_detail/96334601d7c9eac40nZ82du8FVdS.html?securityId=bgXbUkTzY6gvr-D1Mli89yP1UFpEtSiOi_Fx7r2coYu53F7txQ767yP9qBJATX_6ZDdWceg_de6fUwSolwLq8RcC2PgVszfUaRjIVQTW7YTUN87DHXFDHtZy61R98PWrTm4vpcZ23iBAx_wPvTRDdV47ey-mfJb9GgzIgJAwVHIZXD0vKbn_WQz36IB29dq8NLhuMyjcfbSR1Pb7c8ilfq29IDU3dC9aLY4IG6nkwsGH039sQb2KPiHxjS9HDAomuH_eD8vt3fMTbMh1fPvwnynF1XNxIDCfnPhxMkjO7Q~~&lid=1yCchXqTVeg,3-5年,本科,"领域: 计算机软件
性质: 已上市
规模: 1000-9999人
技能标签: B端产品 教育 高校
福利标签: 交通补助 带薪年假 通讯补贴 补充医疗保险 股票期权 定期体检 年终奖 员工旅游 餐补 节日福利 五险一金
原始经验: 3-5年
原始学历: 本科",41-谭莎,焦一凡,,,,
